config,duration_min,category,wins,losses,trades,win_rate_pct
5m_auto_M5,3,direct,102,27,129,79.07
5m_auto_M5,3,fallback,52,9,61,85.25
5m_auto_M5,3,regime_confirmation,6,3,9,66.67
5m_auto_M5,4,direct,95,34,129,73.64
5m_auto_M5,4,fallback,48,13,61,78.69
5m_auto_M5,4,regime_confirmation,8,1,9,88.89
5m_auto_M5,5,direct,92,37,129,71.32
5m_auto_M5,5,fallback,53,8,61,86.89
5m_auto_M5,5,regime_confirmation,8,1,9,88.89
5m_auto_M5,6,direct,90,39,129,69.77
5m_auto_M5,6,fallback,50,11,61,81.97
5m_auto_M5,6,regime_confirmation,6,3,9,66.67
5m_auto_M5,7,direct,90,39,129,69.77
5m_auto_M5,7,fallback,49,12,61,80.33
5m_auto_M5,7,regime_confirmation,5,4,9,55.56
5m_auto_M5,8,direct,86,43,129,66.67
5m_auto_M5,8,fallback,47,14,61,77.05
5m_auto_M5,8,regime_confirmation,5,4,9,55.56
5m_auto_M5,9,direct,83,46,129,64.34
5m_auto_M5,9,fallback,46,15,61,75.41
5m_auto_M5,9,regime_confirmation,6,3,9,66.67
5m_auto_M5,10,direct,81,48,129,62.79
5m_auto_M5,10,fallback,50,11,61,81.97
5m_auto_M5,10,regime_confirmation,6,3,9,66.67
15m_auto_M15,5,direct,106,39,145,73.1
15m_auto_M15,5,fallback,51,28,79,64.56
15m_auto_M15,5,regime_confirmation,12,5,17,70.59
15m_auto_M15,6,direct,107,38,145,73.79
15m_auto_M15,6,fallback,53,26,79,67.09
15m_auto_M15,6,regime_confirmation,13,4,17,76.47
15m_auto_M15,7,direct,114,31,145,78.62
15m_auto_M15,7,fallback,57,22,79,72.15
15m_auto_M15,7,regime_confirmation,12,5,17,70.59
15m_auto_M15,8,direct,115,30,145,79.31
15m_auto_M15,8,fallback,61,18,79,77.22
15m_auto_M15,8,regime_confirmation,11,6,17,64.71
15m_auto_M15,9,direct,113,32,145,77.93
15m_auto_M15,9,fallback,61,18,79,77.22
15m_auto_M15,9,regime_confirmation,13,4,17,76.47
15m_auto_M15,10,direct,112,33,145,77.24
15m_auto_M15,10,fallback,63,16,79,79.75
15m_auto_M15,10,regime_confirmation,14,3,17,82.35
15m_auto_M15,11,direct,109,36,145,75.17
15m_auto_M15,11,fallback,71,8,79,89.87
15m_auto_M15,11,regime_confirmation,15,2,17,88.24
15m_auto_M15,12,direct,106,39,145,73.1
15m_auto_M15,12,fallback,71,8,79,89.87
15m_auto_M15,12,regime_confirmation,17,0,17,100.0
15m_auto_M15,13,direct,103,42,145,71.03
15m_auto_M15,13,fallback,72,7,79,91.14
15m_auto_M15,13,regime_confirmation,17,0,17,100.0
15m_auto_M15,14,direct,104,41,145,71.72
15m_auto_M15,14,fallback,71,8,79,89.87
15m_auto_M15,14,regime_confirmation,14,3,17,82.35
15m_auto_M15,15,direct,105,40,145,72.41
15m_auto_M15,15,fallback,72,7,79,91.14
15m_auto_M15,15,regime_confirmation,9,8,17,52.94
5m_mismatch_M15,3,regime_confirmation,9,6,15,60.0
5m_mismatch_M15,3,direct,96,27,123,78.05
5m_mismatch_M15,3,fallback,57,9,66,86.36
5m_mismatch_M15,4,regime_confirmation,13,2,15,86.67
5m_mismatch_M15,4,direct,92,31,123,74.8
5m_mismatch_M15,4,fallback,52,14,66,78.79
5m_mismatch_M15,5,regime_confirmation,13,2,15,86.67
5m_mismatch_M15,5,direct,90,33,123,73.17
5m_mismatch_M15,5,fallback,55,11,66,83.33
5m_mismatch_M15,6,regime_confirmation,11,4,15,73.33
5m_mismatch_M15,6,direct,89,34,123,72.36
5m_mismatch_M15,6,fallback,51,15,66,77.27
5m_mismatch_M15,7,regime_confirmation,10,5,15,66.67
5m_mismatch_M15,7,direct,89,34,123,72.36
5m_mismatch_M15,7,fallback,51,15,66,77.27
5m_mismatch_M15,8,regime_confirmation,10,5,15,66.67
5m_mismatch_M15,8,direct,85,38,123,69.11
5m_mismatch_M15,8,fallback,52,14,66,78.79
5m_mismatch_M15,9,regime_confirmation,12,3,15,80.0
5m_mismatch_M15,9,direct,83,40,123,67.48
5m_mismatch_M15,9,fallback,51,15,66,77.27
5m_mismatch_M15,10,regime_confirmation,11,4,15,73.33
5m_mismatch_M15,10,direct,83,40,123,67.48
5m_mismatch_M15,10,fallback,51,15,66,77.27
