close,epoch,high,low,open,volume
1.13952,1782821700,1.13963,1.13938,1.13959,1.0
1.13895,1782822000,1.13953,1.13895,1.13952,1.0
1.13913,1782822300,1.13922,1.13887,1.13896,1.0
1.13944,1782822600,1.13959,1.13894,1.13913,1.0
1.13943,1782822900,1.13965,1.13941,1.13946,1.0
1.13983,1782823200,1.13989,1.13938,1.13943,1.0
1.13956,1782823500,1.13983,1.13934,1.13983,1.0
1.14021,1782823800,1.14028,1.13954,1.13956,1.0
1.13963,1782824100,1.14023,1.13961,1.14023,1.0
1.13953,1782824400,1.13971,1.13947,1.13962,1.0
1.14013,1782824700,1.14013,1.13945,1.13953,1.0
1.13999,1782825000,1.14027,1.13992,1.14013,1.0
1.14052,1782825300,1.14056,1.13998,1.13998,1.0
1.14017,1782825600,1.14069,1.1401,1.14052,1.0
1.14018,1782825900,1.14033,1.14002,1.14017,1.0
1.1399,1782826200,1.14037,1.13981,1.14018,1.0
1.13982,1782826500,1.14009,1.1397,1.1399,1.0
1.1401,1782826800,1.14013,1.13979,1.13982,1.0
1.14001,1782827100,1.14014,1.13973,1.1401,1.0
1.1399,1782827400,1.14016,1.13981,1.13997,1.0
1.13964,1782827700,1.13989,1.13963,1.13988,1.0
1.13979,1782828000,1.13979,1.13912,1.13968,1.0
1.14019,1782828300,1.14019,1.13973,1.13979,1.0
1.14068,1782828600,1.14068,1.14014,1.14019,1.0
1.14095,1782828900,1.14132,1.14063,1.14068,1.0
1.14144,1782829200,1.1416,1.14098,1.14098,1.0
1.14131,1782829500,1.14148,1.14123,1.14147,1.0
1.14122,1782829800,1.14164,1.14108,1.14131,1.0
1.14112,1782830100,1.14131,1.14089,1.14122,1.0
1.14191,1782830400,1.14198,1.14111,1.14111,1.0
1.14175,1782830700,1.14208,1.1416,1.14192,1.0
1.14281,1782831000,1.14299,1.14176,1.14176,1.0
1.1433,1782831300,1.14347,1.14255,1.14284,1.0
1.1428,1782831600,1.14364,1.14265,1.14331,1.0
1.14284,1782831900,1.14313,1.14269,1.1428,1.0
1.14261,1782832200,1.14287,1.14256,1.14284,1.0
1.14245,1782832500,1.1427,1.14234,1.14261,1.0
1.14243,1782832800,1.14248,1.14225,1.14245,1.0
1.14217,1782833100,1.14255,1.14217,1.14242,1.0
1.14235,1782833400,1.14261,1.14216,1.14216,1.0
1.14198,1782833700,1.14234,1.14189,1.14231,1.0
1.14181,1782834000,1.14206,1.14181,1.14196,1.0
1.14191,1782834300,1.14207,1.14172,1.14181,1.0
1.14179,1782834600,1.14191,1.14173,1.14191,1.0
1.1417,1782834900,1.14196,1.14151,1.1418,1.0
1.14131,1782835200,1.14179,1.14131,1.1417,1.0
1.14155,1782835500,1.14155,1.14124,1.14131,1.0
1.14152,1782835800,1.14161,1.14141,1.14157,1.0
1.14132,1782836100,1.14152,1.14125,1.14152,1.0
1.14149,1782836400,1.14162,1.14136,1.14136,1.0
1.14149,1782836700,1.14151,1.1413,1.14149,1.0
1.14137,1782837000,1.14155,1.14134,1.14149,1.0
1.1416,1782837300,1.14161,1.14134,1.14137,1.0
1.14165,1782837600,1.14174,1.14157,1.1416,1.0
1.14173,1782837900,1.14179,1.14164,1.14164,1.0
1.1413,1782838200,1.14183,1.14129,1.14173,1.0
1.14142,1782838500,1.14149,1.14126,1.1413,1.0
1.14179,1782838800,1.14193,1.14142,1.14142,1.0
1.14156,1782839100,1.1418,1.1415,1.14179,1.0
1.14146,1782839400,1.14163,1.14145,1.14156,1.0
1.14176,1782839700,1.14177,1.14146,1.14146,1.0
1.14172,1782840000,1.14176,1.14157,1.14176,1.0
1.14187,1782840300,1.14191,1.14168,1.14173,1.0
1.14186,1782840600,1.14195,1.14179,1.14187,1.0
1.14171,1782840900,1.14187,1.1417,1.14185,1.0
1.1419,1782841200,1.1419,1.1417,1.14171,1.0
1.1422,1782841500,1.14222,1.14186,1.1419,1.0
1.14211,1782841800,1.14223,1.14207,1.1422,1.0
1.14216,1782842100,1.14217,1.14204,1.14211,1.0
1.14239,1782842400,1.14239,1.14216,1.14216,1.0
1.14265,1782842700,1.14269,1.14244,1.14244,1.0
1.14266,1782843000,1.1427,1.14254,1.14265,1.0
1.14255,1782843300,1.14266,1.14239,1.14265,1.0
1.14256,1782843600,1.14271,1.1425,1.14255,1.0
1.14261,1782843900,1.14267,1.14252,1.14256,1.0
1.14252,1782844200,1.14269,1.14248,1.14261,1.0
1.14235,1782844500,1.14257,1.14231,1.14252,1.0
1.1421,1782844800,1.14235,1.14205,1.14235,1.0
1.14248,1782845100,1.14248,1.14209,1.1421,1.0
1.14244,1782845400,1.14265,1.14242,1.14248,1.0
1.14206,1782845700,1.14244,1.14197,1.14244,1.0
1.14217,1782846000,1.14224,1.142,1.14205,1.0
1.14203,1782846300,1.14221,1.14196,1.14217,1.0
1.1421,1782846600,1.14222,1.14203,1.14203,1.0
1.14203,1782846900,1.14222,1.142,1.14209,1.0
1.14171,1782847200,1.14204,1.14168,1.14202,1.0
1.14161,1782847500,1.14176,1.14159,1.14171,1.0
1.14188,1782847800,1.1419,1.14157,1.14162,1.0
1.14188,1782848100,1.14192,1.14185,1.14188,1.0
1.14182,1782848400,1.14192,1.14167,1.14188,1.0
1.14187,1782848700,1.14188,1.14181,1.14182,1.0
1.14184,1782849000,1.14187,1.14172,1.14187,1.0
1.14264,1782849300,1.14266,1.14184,1.14184,1.0
1.14272,1782849600,1.14274,1.14259,1.14266,1.0
1.14254,1782849900,1.14272,1.1425,1.14271,1.0
1.14254,1782850200,1.14256,1.1425,1.14253,1.0
1.14262,1782850500,1.14263,1.14241,1.14254,1.0
1.14255,1782850800,1.14262,1.14255,1.14262,1.0
1.14246,1782851100,1.14256,1.14242,1.14255,1.0
1.14242,1782851400,1.14249,1.14235,1.14246,1.0
1.14228,1782851700,1.14242,1.14226,1.14242,1.0
1.14235,1782852000,1.14236,1.14227,1.14228,1.0
1.14227,1782852300,1.14235,1.1422,1.14235,1.0
1.14221,1782852600,1.14234,1.14221,1.14227,1.0
1.14222,1782852900,1.14222,1.14207,1.1422,1.0
1.142,1782853200,1.14222,1.14179,1.14222,1.0
1.14222,1782853500,1.1423,1.14201,1.14201,1.0
1.14222,1782853800,1.14224,1.14221,1.14222,1.0
1.14227,1782854100,1.14229,1.14222,1.14222,1.0
1.14197,1782854400,1.14228,1.14181,1.14227,1.0
1.14215,1782854700,1.14215,1.14186,1.14197,1.0
1.14218,1782855000,1.14219,1.14212,1.14215,1.0
1.14224,1782855300,1.14224,1.14217,1.14218,1.0
1.14222,1782855600,1.14224,1.14221,1.14224,1.0
1.1423,1782855900,1.1423,1.1422,1.14222,1.0
1.14229,1782856200,1.14231,1.14228,1.1423,1.0
1.14223,1782856500,1.1423,1.14222,1.14229,1.0
1.14217,1782856800,1.14226,1.14205,1.14222,1.0
1.1423,1782857100,1.1423,1.14217,1.14217,1.0
1.14214,1782857400,1.1423,1.14214,1.1423,1.0
1.14219,1782857700,1.14222,1.14215,1.14215,1.0
1.14211,1782858000,1.14222,1.14209,1.14219,1.0
1.14212,1782858300,1.14216,1.14211,1.14211,1.0
1.14212,1782858600,1.14213,1.14208,1.14212,1.0
1.14213,1782858900,1.14214,1.14212,1.14212,1.0
1.14211,1782859200,1.14214,1.14211,1.14213,1.0
1.1419,1782859500,1.14212,1.1419,1.14212,1.0
1.14191,1782859800,1.14193,1.14187,1.14191,1.0
1.14201,1782860100,1.14201,1.14191,1.14191,1.0
1.14194,1782860400,1.14203,1.1419,1.142,1.0
