close,epoch,high,low,open,volume
457.2,1783740600,459.79,457.2,459.16,1.0
456.46,1783740900,457.17,454.9,456.78,1.0
454.65,1783741200,456.33,454.35,456.31,1.0
458.26,1783741500,458.26,454.49,454.49,1.0
457.81,1783741800,458.87,456.69,458.21,1.0
457.33,1783742100,458.47,456.53,457.77,1.0
459.48,1783742400,459.55,457.04,457.33,1.0
459.0,1783742700,459.59,457.76,459.33,1.0
457.3,1783743000,459.28,457.2,459.1,1.0
455.47,1783743300,458.21,455.16,457.34,1.0
456.74,1783743600,457.19,455.05,455.43,1.0
456.43,1783743900,457.18,454.94,456.71,1.0
455.04,1783744200,456.57,454.93,456.51,1.0
454.96,1783744500,455.64,453.53,455.04,1.0
456.96,1783744800,456.96,455.08,455.08,1.0
456.02,1783745100,456.98,455.22,456.98,1.0
454.19,1783745400,456.51,453.85,455.98,1.0
457.4,1783745700,457.41,453.96,454.23,1.0
457.96,1783746000,459.27,457.27,457.29,1.0
457.88,1783746300,458.71,457.67,457.9,1.0
457.17,1783746600,458.09,456.41,457.89,1.0
455.81,1783746900,457.57,455.6,457.45,1.0
455.93,1783747200,457.2,455.72,455.75,1.0
453.48,1783747500,455.72,452.97,455.72,1.0
451.26,1783747800,453.72,450.67,453.46,1.0
452.89,1783748100,452.94,450.19,451.14,1.0
454.31,1783748400,454.35,452.58,453.0,1.0
453.1,1783748700,454.52,452.56,454.19,1.0
453.9,1783749000,453.92,451.92,452.93,1.0
454.92,1783749300,455.14,453.7,453.89,1.0
452.9,1783749600,455.19,452.76,455.09,1.0
453.32,1783749900,454.0,452.56,452.96,1.0
453.05,1783750200,453.25,451.81,453.17,1.0
452.6,1783750500,454.24,452.59,452.91,1.0
452.2,1783750800,454.41,452.02,452.68,1.0
452.59,1783751100,452.8,451.07,452.3,1.0
452.47,1783751400,453.26,451.46,452.48,1.0
450.97,1783751700,452.55,450.73,452.31,1.0
452.35,1783752000,452.39,448.76,451.12,1.0
451.86,1783752300,452.44,450.66,452.44,1.0
451.08,1783752600,452.1,450.31,451.74,1.0
451.55,1783752900,452.76,450.92,450.92,1.0
451.16,1783753200,451.76,450.29,451.61,1.0
450.69,1783753500,451.97,450.37,451.3,1.0
449.7,1783753800,451.57,449.22,450.64,1.0
449.41,1783754100,449.89,448.29,449.68,1.0
446.7,1783754400,449.33,446.28,449.13,1.0
448.47,1783754700,448.84,446.27,446.57,1.0
448.8,1783755000,449.37,448.3,448.42,1.0
450.35,1783755300,450.75,447.78,448.55,1.0
449.81,1783755600,450.54,449.16,450.39,1.0
448.54,1783755900,450.34,448.37,449.83,1.0
449.17,1783756200,450.74,448.1,448.58,1.0
451.83,1783756500,451.96,449.14,449.32,1.0
450.46,1783756800,452.74,450.42,451.8,1.0
445.97,1783757100,450.97,445.96,450.66,1.0
447.06,1783757400,447.7,445.41,445.94,1.0
449.24,1783757700,449.62,446.93,447.19,1.0
447.87,1783758000,449.4,447.53,449.29,1.0
446.62,1783758300,448.28,445.95,448.11,1.0
448.11,1783758600,448.23,446.64,446.94,1.0
448.34,1783758900,448.89,447.16,448.18,1.0
448.03,1783759200,448.66,446.42,448.46,1.0
447.07,1783759500,448.63,446.8,448.03,1.0
447.02,1783759800,448.09,446.21,446.99,1.0
445.28,1783760100,447.42,444.65,446.77,1.0
444.16,1783760400,446.07,443.55,445.03,1.0
442.7,1783760700,444.09,442.11,444.08,1.0
443.33,1783761000,443.83,441.84,442.41,1.0
440.06,1783761300,443.34,440.06,443.34,1.0
440.59,1783761600,440.59,439.16,440.15,1.0
441.85,1783761900,442.77,440.4,440.69,1.0
438.64,1783762200,441.82,438.48,441.79,1.0
438.36,1783762500,439.12,437.24,438.68,1.0
438.13,1783762800,438.52,436.94,438.31,1.0
437.75,1783763100,439.35,437.75,438.34,1.0
440.33,1783763400,440.61,437.42,437.83,1.0
438.55,1783763700,440.32,438.44,440.27,1.0
438.23,1783764000,439.02,437.55,438.56,1.0
438.32,1783764300,439.1,437.07,438.17,1.0
438.23,1783764600,438.91,437.22,438.39,1.0
439.78,1783764900,439.78,437.65,438.2,1.0
440.24,1783765200,440.65,439.29,439.81,1.0
440.96,1783765500,440.96,439.96,440.1,1.0
441.06,1783765800,441.28,439.6,440.89,1.0
442.38,1783766100,442.65,440.92,441.25,1.0
442.45,1783766400,442.99,440.74,442.55,1.0
443.89,1783766700,443.89,442.37,442.55,1.0
442.35,1783767000,444.14,441.85,443.97,1.0
444.25,1783767300,444.25,441.98,442.37,1.0
444.58,1783767600,445.05,443.49,444.35,1.0
443.24,1783767900,444.63,442.92,444.59,1.0
445.62,1783768200,445.86,443.24,443.35,1.0
445.24,1783768500,445.97,444.09,445.61,1.0
