config,duration_min,combo,wins,losses,trades,win_rate_pct
5m_auto_M5,3,direct only,101,27,128,78.91
5m_auto_M5,3,fallback only,52,9,61,85.25
5m_auto_M5,3,regime_confirmation only,5,3,8,62.5
5m_auto_M5,3,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,4,direct only,94,34,128,73.44
5m_auto_M5,4,fallback only,48,13,61,78.69
5m_auto_M5,4,regime_confirmation only,7,1,8,87.5
5m_auto_M5,4,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,5,direct only,91,37,128,71.09
5m_auto_M5,5,fallback only,53,8,61,86.89
5m_auto_M5,5,regime_confirmation only,7,1,8,87.5
5m_auto_M5,5,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,6,direct only,89,39,128,69.53
5m_auto_M5,6,fallback only,50,11,61,81.97
5m_auto_M5,6,regime_confirmation only,5,3,8,62.5
5m_auto_M5,6,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,7,direct only,89,39,128,69.53
5m_auto_M5,7,fallback only,49,12,61,80.33
5m_auto_M5,7,regime_confirmation only,4,4,8,50.0
5m_auto_M5,7,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,8,direct only,85,43,128,66.41
5m_auto_M5,8,fallback only,47,14,61,77.05
5m_auto_M5,8,regime_confirmation only,4,4,8,50.0
5m_auto_M5,8,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,9,direct only,82,46,128,64.06
5m_auto_M5,9,fallback only,46,15,61,75.41
5m_auto_M5,9,regime_confirmation only,5,3,8,62.5
5m_auto_M5,9,direct + regime_confirmation,1,0,1,100.0
5m_auto_M5,10,direct only,80,48,128,62.5
5m_auto_M5,10,fallback only,50,11,61,81.97
5m_auto_M5,10,regime_confirmation only,5,3,8,62.5
5m_auto_M5,10,direct + regime_confirmation,1,0,1,100.0
15m_auto_M15,5,direct only,106,39,145,73.1
15m_auto_M15,5,fallback only,51,28,79,64.56
15m_auto_M15,5,regime_confirmation only,12,5,17,70.59
15m_auto_M15,6,direct only,107,38,145,73.79
15m_auto_M15,6,fallback only,53,26,79,67.09
15m_auto_M15,6,regime_confirmation only,13,4,17,76.47
15m_auto_M15,7,direct only,114,31,145,78.62
15m_auto_M15,7,fallback only,57,22,79,72.15
15m_auto_M15,7,regime_confirmation only,12,5,17,70.59
15m_auto_M15,8,direct only,115,30,145,79.31
15m_auto_M15,8,fallback only,61,18,79,77.22
15m_auto_M15,8,regime_confirmation only,11,6,17,64.71
15m_auto_M15,9,direct only,113,32,145,77.93
15m_auto_M15,9,fallback only,61,18,79,77.22
15m_auto_M15,9,regime_confirmation only,13,4,17,76.47
15m_auto_M15,10,direct only,112,33,145,77.24
15m_auto_M15,10,fallback only,63,16,79,79.75
15m_auto_M15,10,regime_confirmation only,14,3,17,82.35
15m_auto_M15,11,direct only,109,36,145,75.17
15m_auto_M15,11,fallback only,71,8,79,89.87
15m_auto_M15,11,regime_confirmation only,15,2,17,88.24
15m_auto_M15,12,direct only,106,39,145,73.1
15m_auto_M15,12,fallback only,71,8,79,89.87
15m_auto_M15,12,regime_confirmation only,17,0,17,100.0
15m_auto_M15,13,direct only,103,42,145,71.03
15m_auto_M15,13,fallback only,72,7,79,91.14
15m_auto_M15,13,regime_confirmation only,17,0,17,100.0
15m_auto_M15,14,direct only,104,41,145,71.72
15m_auto_M15,14,fallback only,71,8,79,89.87
15m_auto_M15,14,regime_confirmation only,14,3,17,82.35
15m_auto_M15,15,direct only,105,40,145,72.41
15m_auto_M15,15,fallback only,72,7,79,91.14
15m_auto_M15,15,regime_confirmation only,9,8,17,52.94
5m_mismatch_M15,3,regime_confirmation only,8,6,14,57.14
5m_mismatch_M15,3,direct only,95,27,122,77.87
5m_mismatch_M15,3,fallback only,57,9,66,86.36
5m_mismatch_M15,3,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,4,regime_confirmation only,12,2,14,85.71
5m_mismatch_M15,4,direct only,91,31,122,74.59
5m_mismatch_M15,4,fallback only,52,14,66,78.79
5m_mismatch_M15,4,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,5,regime_confirmation only,12,2,14,85.71
5m_mismatch_M15,5,direct only,89,33,122,72.95
5m_mismatch_M15,5,fallback only,55,11,66,83.33
5m_mismatch_M15,5,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,6,regime_confirmation only,10,4,14,71.43
5m_mismatch_M15,6,direct only,88,34,122,72.13
5m_mismatch_M15,6,fallback only,51,15,66,77.27
5m_mismatch_M15,6,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,7,regime_confirmation only,9,5,14,64.29
5m_mismatch_M15,7,direct only,88,34,122,72.13
5m_mismatch_M15,7,fallback only,51,15,66,77.27
5m_mismatch_M15,7,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,8,regime_confirmation only,9,5,14,64.29
5m_mismatch_M15,8,direct only,84,38,122,68.85
5m_mismatch_M15,8,fallback only,52,14,66,78.79
5m_mismatch_M15,8,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,9,regime_confirmation only,11,3,14,78.57
5m_mismatch_M15,9,direct only,82,40,122,67.21
5m_mismatch_M15,9,fallback only,51,15,66,77.27
5m_mismatch_M15,9,direct + regime_confirmation,1,0,1,100.0
5m_mismatch_M15,10,regime_confirmation only,10,4,14,71.43
5m_mismatch_M15,10,direct only,82,40,122,67.21
5m_mismatch_M15,10,fallback only,51,15,66,77.27
5m_mismatch_M15,10,direct + regime_confirmation,1,0,1,100.0
